"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1729","Add product from the product details page","chromium","Thu Jul 10 16:45:17 MSK 2025","passed","Thu Jul 10 16:45:18 MSK 2025","Cart","","",""
"","3439","Verify Price (high to low) sorting","webkit","Thu Jul 10 16:45:37 MSK 2025","passed","Thu Jul 10 16:45:41 MSK 2025","Catalog","","",""
"","2615","Add product from the product details page","Mobile Safari","Thu Jul 10 16:45:48 MSK 2025","failed","Thu Jul 10 16:45:51 MSK 2025","Cart","","",""
"","1148","Verify default sorting","chromium","Thu Jul 10 16:45:18 MSK 2025","passed","Thu Jul 10 16:45:19 MSK 2025","Catalog","","",""
"","2254","Verify Name (A to Z) sorting","chromium","Thu Jul 10 16:45:17 MSK 2025","passed","Thu Jul 10 16:45:19 MSK 2025","Catalog","","",""
"","2701","Verify Name (Z to A) sorting","Medium Viewport","Thu Jul 10 16:46:03 MSK 2025","passed","Thu Jul 10 16:46:05 MSK 2025","Catalog","","",""
"","4482","Successful logout","firefox","Thu Jul 10 16:45:21 MSK 2025","passed","Thu Jul 10 16:45:26 MSK 2025","Logout Tests","","",""
"","2113","Attempt to login with empty username","webkit","Thu Jul 10 16:45:32 MSK 2025","passed","Thu Jul 10 16:45:34 MSK 2025","Login tests","","",""
"","2217","Add product and verify in cart","Mobile Chrome","Thu Jul 10 16:45:40 MSK 2025","passed","Thu Jul 10 16:45:42 MSK 2025","Cart","","",""
"","1219","Attempt to login with empty credentials","Small Viewport","Thu Jul 10 16:45:54 MSK 2025","passed","Thu Jul 10 16:45:55 MSK 2025","Login tests","","",""
"","1915","Count items","Mobile Chrome","Thu Jul 10 16:45:42 MSK 2025","passed","Thu Jul 10 16:45:44 MSK 2025","Catalog","","",""
"","1523","Attempt to login with empty username","chromium","Thu Jul 10 16:45:15 MSK 2025","passed","Thu Jul 10 16:45:16 MSK 2025","Login tests","","",""
"","1922","Add product from the product details page","Medium Viewport","Thu Jul 10 16:46:01 MSK 2025","passed","Thu Jul 10 16:46:03 MSK 2025","Cart","","",""
"","1317","Add and remove product from cart","Small Viewport","Thu Jul 10 16:45:55 MSK 2025","passed","Thu Jul 10 16:45:56 MSK 2025","Cart","","",""
